lake_id,survey_date,amphibian_species,amphibian_life_stage,amphibian_state,amphibian_number,amphibian_location,amphibian_voucher
10002,7/25/01,HYRE,Tadpole,Alive,16,in lake,0
10005,7/27/01,HYRE,Tadpole,Alive,5,in lake,0
10006,7/28/01,HYRE,Tadpole,Alive,215,in lake,0
10006,7/28/01,THEL,Adult,Alive,1,in lake,0
10006,7/28/01,THEL,SubAdult,Alive,1,in lake,0
10008,7/25/01,RAMU,SubAdult,Alive,1,in lake,0
10008,7/25/01,RAMU,Tadpole,Alive,59,in lake,0
10011,7/25/01,RAMU,Adult,Alive,12,in lake,0
10011,7/25/01,RAMU,SubAdult,Alive,5,in lake,0
10011,7/25/01,RAMU,Tadpole,Alive,2000,in lake,1
10011,7/25/01,THEL,SubAdult,Alive,1,in lake,0
10016,7/12/97,BUCA,Tadpole,Alive,160,in lake,0
10016,7/12/97,HYRE,Adult,Alive,1,fringing habitat,0
10016,7/12/97,HYRE,SubAdult,Alive,1,in lake,0
10016,7/12/97,HYRE,Tadpole,Alive,40,in lake,0
10017,7/31/97,HYRE,Tadpole,Alive,383,in lake,0
10019,9/11/02,HYRE,SubAdult,Alive,1,outlet,0
10023,7/31/97,HYRE,Tadpole,Alive,200,in lake,0
10030,7/13/97,HYRE,SubAdult,Alive,1,fringing habitat,0
10030,7/13/97,HYRE,Tadpole,Alive,220,fringing habitat,0
10030,8/13/02,HYRE,Adult,Alive,1,in lake,0
10030,8/13/02,HYRE,SubAdult,Alive,23,fringing habitat,0
10030,8/13/02,HYRE,Tadpole,Alive,48,fringing habitat,0
10030,8/13/02,RAMU,Adult,Alive,1,fringing habitat,0
10031,7/12/97,HYRE,SubAdult,Alive,4,fringing habitat,0
10031,7/12/97,HYRE,Tadpole,Alive,70,fringing habitat,0
10032,7/13/97,HYRE,Tadpole,Alive,1200,fringing habitat,0
10032,7/13/97,RAMU,SubAdult,Alive,1,fringing habitat,0
10032,7/13/97,RAMU,SubAdult,Alive,3,in lake,0
10032,7/13/97,RAMU,Tadpole,Alive,1,in lake,0
10032,8/13/02,RAMU,Adult,Alive,1,inlet,0
10032,8/13/02,RAMU,SubAdult,Alive,2,in lake,0
10032,8/13/02,RAMU,SubAdult,Alive,5,inlet,0
10032,8/13/02,THEL,Adult,Alive,1,in lake,0
10037,7/9/97,RAMU,Adult,Alive,1,in lake,0
10037,8/14/02,RAMU,Adult,Alive,7,in lake,0
10037,8/14/02,RAMU,SubAdult,Alive,11,in lake,0
10037,8/14/02,RAMU,Tadpole,Alive,228,in lake,0
10039,7/15/97,HYRE,Tadpole,Alive,19,fringing habitat,0
10052,8/14/97,HYRE,SubAdult,Alive,3,in lake,0
10052,8/14/97,HYRE,Tadpole,Alive,1034,in lake,0
10055,8/12/97,RAMU,Adult,Alive,3,in lake,0
10055,9/9/02,RAMU,Adult,Alive,7,in lake,0
10055,9/9/02,RAMU,SubAdult,Alive,213,in lake,0
10055,9/9/02,RAMU,Tadpole,Alive,1117,in lake,0
10056,8/14/97,HYRE,SubAdult,Alive,5,fringing habitat,0
10056,8/14/97,HYRE,Tadpole,Alive,60,fringing habitat,0
